"GI_coop_label","GI_coop_district","GI_coop_region","GI_coop_department","GI_coop_village","ST_ft_certified","ST_ft_since","END_COOP_gps.Longitude","END_COOP_gps.Latitude"
"COOP-CA CAEMIN","Comoe","Indenie-Djuablin","Abengourou","ABENGOUROU",1,2015,-3.50383354,6.72863107
"COOP-CA NANTESSOU","Comoe","Indenie-Djuablin","Abengourou","ABENGOUROU",1,2014,-3.49458575,6.72238979
"CAPA COOP-CA","Comoe","Indenie-Djuablin","Abengourou","ABENGOUROU",1,2012,-3.49077815,6.72945965
"COOP-CA MAYONUMBE DE YEREYERE","Comoe","Indenie-Djuablin","Abengourou","ABENGOUROU",1,2015,-3.49776732,6.73102307
"CAPRESSA","Comoe","Indenie-Djuablin","Abengourou","ABENGOUROU",1,2011,-3.50130202,6.72623995
"COOP-CA COOPAZA ZARANOU","Comoe","Indenie-Djuablin","Abengourou","ABENGOUROU",1,2012,-3.49612352,6.72710677
"COOP-CA JEPRAS","Comoe","Indenie-Djuablin","Abengourou","EBILASSOKRO",1,2014,-3.34720413,6.37810662
"COOP ESPOIR D'AGNIKRO","Comoe","Indenie-Djuablin","Abengourou","ABENGOUROU",1,2013,-3.54753324,6.53205849
"COOP-CA API","Comoe","Indenie-Djuablin","Abengourou","APPOISSO",1,2017,-3.42887103,6.54965911
"COOP-CA ADI DIANGOBO","Comoe","Indenie-Djuablin","Abengourou","DIANGOBO",1,2016,-3.33702624,6.56694396
"COOPAYAAF","Comoe","Indenie-Djuablin","Abengourou","ABENGOUROU",1,2010,-3.5040199,6.72506069
"SCOOPACA","Comoe","Indenie-Djuablin","Abengourou","AMELEKIA",1,2012,-3.5738703,6.82965948
"COOP-CA ENTENTE NIABLE","Comoe","Indenie-Djuablin","Abengourou","NIABLE",0,NA,-3.26960134,6.6569099
"COOP ESPOIR DE L'INDENIE","Comoe","Indenie-Djuablin","Abengourou","SANKADIOKRO",0,NA,-3.48304811,6.86270049
"COOP-CA PRAKO","Comoe","Indenie-Djuablin","Abengourou","ZARANOU",0,NA,-3.36343592,6.42633036
"CAEKIN COOP-CA","Comoe","Indenie-Djuablin","Abengourou","ANIASSUE",0,NA,-3.683287,6.65706805
"SOCAAMO","Lacs","Moronou","Arrah","ARRAH",0,NA,-3.968327,6.67330151
"COOP-CA P2A","Lacs","Moronou","Bongouanou","BONGOUANOU",1,2014,-4.21201545,6.65616644
"SOCADEM","Lacs","Moronou","MBatto","MBATTO",0,NA,-4.35752973,6.46968472
"COOPAYA","Lacs","Moronou","MBatto","AGNIA",0,NA,-4.48962157,6.50324353
"SCAFRA","Lagunes","La Me / Massan","Adzopé","ADZOPE",0,NA,-3.8491017,6.10352754
"SCAGA","Lagunes","La Me / Massan","Adzopé","ADZOPE",1,2016,-3.86150056,6.09661699
"COOP-CA ECAAF","Lagunes","La Me / Massan","Akoupe","AFFERY",1,2015,-3.95360402,6.31728221
"COOP-CA SCKA","Lagunes","La Me / Massan","Akoupe","AFFERY",1,2013,-3.85405152,6.10233059
"COOP-CA CANWORI","Lagunes","La Me / Massan","Yakasse-Attobrou","YAKASSEATTOBROU",1,2014,-3.6503695,6.18057154
"COOP-CA CAYAT","Lagunes","La Me / Massan","Adzopé","ADZOPE",1,2012,-3.85189642,6.09922711
"COOP-CA BB","Comoe","Indenie-Djuablin","Bettie","BETTIE",1,2015,-3.4120489,6.07520107
"SCOOPS 2AB","Comoe","Indenie-Djuablin","Bettie","BETTIE",0,NA,-3.41059911,6.07390626
"COOP-CA COONEA","Comoe","Indenie-Djuablin","Bettie","ATTIEKRO",1,2018,-3.21352543,6.13392691
"SOCONECCB","Comoe","Indenie-Djuablin","Bettie","BETTIE",0,NA,-3.40000002,6.07447782
"SCOOPS ABE","Comoe","Indenie-Djuablin","Bettie","BETTIE",0,NA,-3.41272783,6.07776263
"COOPAB","Comoe","Indenie-Djuablin","Bettie","BETTIE",0,NA,-3.40140994,6.07413878
"COOPAA AGNEBY","Lagunes","Agneby-Tiassa","Agboville","AGBOVILLE",1,2018,-4.21994759,5.93059674
"COOP-CA AKE DOUANIER","Lagunes","Agneby-Tiassa","Agboville","AGBOVILLE",0,NA,-4.20765378,5.93425343
"COOP ENTENTE AGBOVILLE","Lagunes","Agneby-Tiassa","Agboville","ATTOBROU",0,NA,-4.0589569,6.09087075
"COOP-CA CEPACI","Lagunes","Agneby-Tiassa","Agboville","AGBOVILLE",0,NA,-4.21603579,5.91508074
"SCOOPS EBENEZER","Lagunes","Agneby-Tiassa","Agboville","ATTOBROU",0,NA,-4.05880705,6.08945773
"COOPAKO","Lagunes","Agneby-Tiassa","Agboville","ABOUDE KOUASSIKRO",0,NA,-4.2023123,5.93134463
"CAVRA","Lagunes","Agneby-Tiassa","Agboville","AGBOVILLE",0,NA,-4.21981475,5.92845618
"COOP BINKADI","Lagunes","Agneby-Tiassa","Agboville","ATTOBROU",0,NA,-4.20184856,5.93118918
"COOP BETHANIE","Lagunes","Agneby-Tiassa","Agboville","AGBOVILLE",0,NA,-4.22063992,5.93176997
"SCOOPS PEA","Lagunes","Agneby-Tiassa","Agboville","AGBOVILLE",0,NA,-4.20166924,5.93324263
"COOP SIMPLIFIEE PERFORMANCE","Lagunes","Agneby-Tiassa","Agboville","AGBOVILLE",0,NA,-4.13541504,5.98014615
"COOP IVOIRE NEGOCE","Lagunes","Agneby-Tiassa","Agboville","ABOUDE MANDEKE",0,NA,-4.53591374,5.89675243
"SCINPA","Lagunes","Agneby-Tiassa","Agboville","AGBOVILLE",1,2014,-4.20210329,5.93130668
"CAAM COOP-CA","Lagunes","Agneby-Tiassa","Agboville","ABOUDE MANDEKE",0,NA,-4.20121273,5.91981455
"SOCAS","Comoe","Sud-Comoe","Aboisso","YAOU",1,2012,-3.1391169,5.79725339
"COOPAME","Comoe","Sud-Comoe","Aboisso","EBIKRO",1,2016,-3.24173478,5.4623089
"COOPYMA","Comoe","Sud-Comoe","Aboisso","AFFIENOU",1,2013,-2.92487761,5.40425465
"COOP-CA USOCAS","Comoe","Sud-Comoe","Aboisso","POISSO",0,NA,-3.26420404,5.43416188
